"","Year","Geo Level","State","State ANSI","organic_detail","Category","measurement","Value","CV (%)"
"289",2021,"STATE","TENNESSEE","47",NA,"PRODUCTION"," CWT","(D)","(D)"
"290",2021,"STATE","TENNESSEE","47",NA,"SALES"," $","(D)","(D)"
"291",2021,"STATE","TENNESSEE","47",NA,"SALES"," CWT","(D)","(D)"
"292",2021,"STATE","TENNESSEE","47","FRESH MARKET","OPERATIONS WITH SALES",NA,"1","(H)"
"293",2021,"STATE","TENNESSEE","47","FRESH MARKET","SALES"," $","(D)","(D)"
"294",2021,"STATE","TENNESSEE","47","FRESH MARKET","SALES"," CWT","(D)","(D)"
"295",2021,"STATE","VERMONT","50",NA,"ACRES HARVESTED",NA,"33","43.3"
"296",2021,"STATE","VERMONT","50",NA,"OPERATIONS WITH AREA HARVESTED",NA,"31","38.8"
"297",2021,"STATE","VERMONT","50",NA,"OPERATIONS WITH SALES",NA,"31","38.8"
"298",2021,"STATE","VERMONT","50",NA,"PRODUCTION"," CWT","1,202","39.1"
"299",2021,"STATE","VERMONT","50",NA,"SALES"," $","480,304","49.7"
"300",2021,"STATE","VERMONT","50",NA,"SALES"," CWT","1,202","39.1"
"301",2021,"STATE","VERMONT","50","FRESH MARKET","OPERATIONS WITH SALES",NA,"31","38.8"
"302",2021,"STATE","VERMONT","50","FRESH MARKET","SALES"," $","480,304","49.7"
"303",2021,"STATE","VERMONT","50","FRESH MARKET","SALES"," CWT","1,202","39.1"
"304",2021,"STATE","WASHINGTON","53",NA,"ACRES HARVESTED",NA,"40","41.1"
"305",2021,"STATE","WASHINGTON","53",NA,"OPERATIONS WITH AREA HARVESTED",NA,"49","25.1"
"306",2021,"STATE","WASHINGTON","53",NA,"OPERATIONS WITH SALES",NA,"49","25.1"
"307",2021,"STATE","WASHINGTON","53",NA,"PRODUCTION"," CWT","1,579","53.4"
"308",2021,"STATE","WASHINGTON","53",NA,"SALES"," $","870,017","54.0"
"309",2021,"STATE","WASHINGTON","53",NA,"SALES"," CWT","1,579","53.4"
"310",2021,"STATE","WASHINGTON","53","FRESH MARKET","OPERATIONS WITH SALES",NA,"49","25.1"
"311",2021,"STATE","WASHINGTON","53","FRESH MARKET","SALES"," $","863,231","53.8"
"312",2021,"STATE","WASHINGTON","53","FRESH MARKET","SALES"," CWT","1,499","54.0"
"313",2021,"STATE","WASHINGTON","53","PROCESSING","OPERATIONS WITH SALES",NA,"4","73.0"
"314",2021,"STATE","WASHINGTON","53","PROCESSING","SALES"," $","6,786","93.9"
"315",2021,"STATE","WASHINGTON","53","PROCESSING","SALES"," CWT","80","82.3"
"316",2021,"STATE","WEST VIRGINIA","54",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"317",2021,"STATE","WEST VIRGINIA","54",NA,"OPERATIONS WITH AREA HARVESTED",NA,"2","(H)"
"318",2021,"STATE","WEST VIRGINIA","54",NA,"OPERATIONS WITH SALES",NA,"2","(H)"
"319",2021,"STATE","WEST VIRGINIA","54",NA,"PRODUCTION"," CWT","(D)","(D)"
"320",2021,"STATE","WEST VIRGINIA","54",NA,"SALES"," $","(D)","(D)"
"321",2021,"STATE","WEST VIRGINIA","54",NA,"SALES"," CWT","(D)","(D)"
"322",2021,"STATE","WEST VIRGINIA","54","FRESH MARKET","OPERATIONS WITH SALES",NA,"2","(H)"
"323",2021,"STATE","WEST VIRGINIA","54","FRESH MARKET","SALES"," $","(D)","(D)"
"324",2021,"STATE","WEST VIRGINIA","54","FRESH MARKET","SALES"," CWT","(D)","(D)"
"325",2021,"STATE","WISCONSIN","55",NA,"ACRES HARVESTED",NA,"19","73.6"
"326",2021,"STATE","WISCONSIN","55",NA,"OPERATIONS WITH AREA HARVESTED",NA,"28","31.3"
"327",2021,"STATE","WISCONSIN","55",NA,"OPERATIONS WITH SALES",NA,"28","31.3"
"328",2021,"STATE","WISCONSIN","55",NA,"PRODUCTION"," CWT","426","82.8"
"329",2021,"STATE","WISCONSIN","55",NA,"SALES"," $","128,120","76.4"
"330",2021,"STATE","WISCONSIN","55",NA,"SALES"," CWT","426","82.8"
"331",2021,"STATE","WISCONSIN","55","FRESH MARKET","OPERATIONS WITH SALES",NA,"28","31.3"
"332",2021,"STATE","WISCONSIN","55","FRESH MARKET","SALES"," $","128,120","76.4"
"333",2021,"STATE","WISCONSIN","55","FRESH MARKET","SALES"," CWT","426","82.8"
"334",2019,"NATIONAL","US TOTAL",NA,NA,"ACRES HARVESTED",NA,"5,158","22.4"
"335",2019,"NATIONAL","US TOTAL",NA,NA,"OPERATIONS WITH AREA HARVESTED",NA,"580","2.7"
"336",2019,"NATIONAL","US TOTAL",NA,NA,"OPERATIONS WITH SALES",NA,"580","2.7"
"337",2019,"NATIONAL","US TOTAL",NA,NA,"PRODUCTION"," CWT","1,461,988","28.5"
"338",2019,"NATIONAL","US TOTAL",NA,NA,"SALES"," $","320,793,584","30.4"
"339",2019,"NATIONAL","US TOTAL",NA,NA,"SALES"," CWT","1,461,266","28.5"
"340",2019,"NATIONAL","US TOTAL",NA,"FRESH MARKET","OPERATIONS WITH SALES",NA,"568","2.8"
"341",2019,"NATIONAL","US TOTAL",NA,"FRESH MARKET","SALES"," $","294,996,931","33.0"
"342",2019,"NATIONAL","US TOTAL",NA,"FRESH MARKET","SALES"," CWT","1,250,324","31.8"
"343",2019,"NATIONAL","US TOTAL",NA,"PROCESSING","OPERATIONS WITH SALES",NA,"30","34.8"
"344",2019,"NATIONAL","US TOTAL",NA,"PROCESSING","SALES"," $","25,796,653","67.1"
"345",2019,"NATIONAL","US TOTAL",NA,"PROCESSING","SALES"," CWT","210,942","48.8"
"346",2019,"STATE","ALABAMA","01",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"347",2019,"STATE","ALABAMA","01",NA,"OPERATIONS WITH AREA HARVESTED",NA,"2","30.4"
"348",2019,"STATE","ALABAMA","01",NA,"OPERATIONS WITH SALES",NA,"2","30.4"
"349",2019,"STATE","ALABAMA","01",NA,"PRODUCTION"," CWT","(D)","(D)"
"350",2019,"STATE","ALABAMA","01",NA,"SALES"," $","(D)","(D)"
"351",2019,"STATE","ALABAMA","01",NA,"SALES"," CWT","(D)","(D)"
"352",2019,"STATE","ALABAMA","01","FRESH MARKET","OPERATIONS WITH SALES",NA,"2","30.4"
"353",2019,"STATE","ALABAMA","01","FRESH MARKET","SALES"," $","(D)","(D)"
"354",2019,"STATE","ALABAMA","01","FRESH MARKET","SALES"," CWT","(D)","(D)"
"355",2019,"STATE","ALABAMA","01","PROCESSING","OPERATIONS WITH SALES",NA,"2","(H)"
"356",2019,"STATE","ALABAMA","01","PROCESSING","SALES"," $","(D)","(D)"
"357",2019,"STATE","ALABAMA","01","PROCESSING","SALES"," CWT","(D)","(D)"
"358",2019,"STATE","ARIZONA","04",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"359",2019,"STATE","ARIZONA","04",NA,"OPERATIONS WITH AREA HARVESTED",NA,"2","(H)"
"360",2019,"STATE","ARIZONA","04",NA,"OPERATIONS WITH SALES",NA,"2","(H)"
"361",2019,"STATE","ARIZONA","04",NA,"PRODUCTION"," CWT","(D)","(D)"
"362",2019,"STATE","ARIZONA","04",NA,"SALES"," $","(D)","(D)"
"363",2019,"STATE","ARIZONA","04",NA,"SALES"," CWT","(D)","(D)"
"364",2019,"STATE","ARIZONA","04","FRESH MARKET","OPERATIONS WITH SALES",NA,"2","(H)"
"365",2019,"STATE","ARIZONA","04","FRESH MARKET","SALES"," $","(D)","(D)"
"366",2019,"STATE","ARIZONA","04","FRESH MARKET","SALES"," CWT","(D)","(D)"
"367",2019,"STATE","CALIFORNIA","06",NA,"ACRES HARVESTED",NA,"4,022","28.7"
"368",2019,"STATE","CALIFORNIA","06",NA,"OPERATIONS WITH AREA HARVESTED",NA,"174","8.0"
"369",2019,"STATE","CALIFORNIA","06",NA,"OPERATIONS WITH SALES",NA,"174","8.0"
"370",2019,"STATE","CALIFORNIA","06",NA,"PRODUCTION"," CWT","1,384,735","30.4"
"371",2019,"STATE","CALIFORNIA","06",NA,"SALES"," $","300,277,717","33.1"
"372",2019,"STATE","CALIFORNIA","06",NA,"SALES"," CWT","1,384,016","30.4"
"373",2019,"STATE","CALIFORNIA","06","FRESH MARKET","OPERATIONS WITH SALES",NA,"170","8.0"
"374",2019,"STATE","CALIFORNIA","06","FRESH MARKET","SALES"," $","275,716,713","35.5"
"375",2019,"STATE","CALIFORNIA","06","FRESH MARKET","SALES"," CWT","1,177,214","33.7"
"376",2019,"STATE","CALIFORNIA","06","PROCESSING","OPERATIONS WITH SALES",NA,"15","39.7"
"377",2019,"STATE","CALIFORNIA","06","PROCESSING","SALES"," $","24,561,004","68.3"
"378",2019,"STATE","CALIFORNIA","06","PROCESSING","SALES"," CWT","206,802","49.3"
"379",2019,"STATE","COLORADO","08",NA,"ACRES HARVESTED",NA,"1","45.6"
"380",2019,"STATE","COLORADO","08",NA,"OPERATIONS WITH AREA HARVESTED",NA,"4","47.2"
"381",2019,"STATE","COLORADO","08",NA,"OPERATIONS WITH SALES",NA,"4","47.2"
"382",2019,"STATE","COLORADO","08",NA,"PRODUCTION"," CWT","62","52.1"
"383",2019,"STATE","COLORADO","08",NA,"SALES"," $","31,000","59.1"
"384",2019,"STATE","COLORADO","08",NA,"SALES"," CWT","62","52.1"
"385",2019,"STATE","COLORADO","08","FRESH MARKET","OPERATIONS WITH SALES",NA,"4","47.2"
"386",2019,"STATE","COLORADO","08","FRESH MARKET","SALES"," $","31,000","59.1"
"387",2019,"STATE","COLORADO","08","FRESH MARKET","SALES"," CWT","62","52.1"
"388",2019,"STATE","CONNECTICUT","09",NA,"ACRES HARVESTED",NA,"4","36.7"
"389",2019,"STATE","CONNECTICUT","09",NA,"OPERATIONS WITH AREA HARVESTED",NA,"11","15.7"
"390",2019,"STATE","CONNECTICUT","09",NA,"OPERATIONS WITH SALES",NA,"11","15.7"
"391",2019,"STATE","CONNECTICUT","09",NA,"PRODUCTION"," CWT","181","33.3"
"392",2019,"STATE","CONNECTICUT","09",NA,"SALES"," $","32,164","35.4"
"393",2019,"STATE","CONNECTICUT","09",NA,"SALES"," CWT","177","33.4"
"394",2019,"STATE","CONNECTICUT","09","FRESH MARKET","OPERATIONS WITH SALES",NA,"11","15.7"
"395",2019,"STATE","CONNECTICUT","09","FRESH MARKET","SALES"," $","32,164","36.0"
"396",2019,"STATE","CONNECTICUT","09","FRESH MARKET","SALES"," CWT","177","33.8"
"397",2019,"STATE","FLORIDA","12",NA,"ACRES HARVESTED",NA,"680","79.0"
"398",2019,"STATE","FLORIDA","12",NA,"OPERATIONS WITH AREA HARVESTED",NA,"14","30.4"
"399",2019,"STATE","FLORIDA","12",NA,"OPERATIONS WITH SALES",NA,"14","30.4"
"400",2019,"STATE","FLORIDA","12",NA,"PRODUCTION"," CWT","59,905","76.3"
"401",2019,"STATE","FLORIDA","12",NA,"SALES"," $","15,055,709","83.4"
"402",2019,"STATE","FLORIDA","12",NA,"SALES"," CWT","59,905","76.3"
"403",2019,"STATE","FLORIDA","12","FRESH MARKET","OPERATIONS WITH SALES",NA,"14","30.4"
"404",2019,"STATE","FLORIDA","12","FRESH MARKET","SALES"," $","15,055,709","83.4"
"405",2019,"STATE","FLORIDA","12","FRESH MARKET","SALES"," CWT","59,905","76.3"
"406",2019,"STATE","GEORGIA","13",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"407",2019,"STATE","GEORGIA","13",NA,"OPERATIONS WITH AREA HARVESTED",NA,"8","30.4"
"408",2019,"STATE","GEORGIA","13",NA,"OPERATIONS WITH SALES",NA,"8","30.4"
"409",2019,"STATE","GEORGIA","13",NA,"PRODUCTION"," CWT","1,309","76.3"
"410",2019,"STATE","GEORGIA","13",NA,"SALES"," $","(D)","(D)"
"411",2019,"STATE","GEORGIA","13",NA,"SALES"," CWT","1,309","76.3"
"412",2019,"STATE","GEORGIA","13","FRESH MARKET","OPERATIONS WITH SALES",NA,"8","30.4"
"413",2019,"STATE","GEORGIA","13","FRESH MARKET","SALES"," $","(D)","(D)"
"414",2019,"STATE","GEORGIA","13","FRESH MARKET","SALES"," CWT","1,309","76.3"
"415",2019,"STATE","IDAHO","16",NA,"ACRES HARVESTED",NA,"4","(H)"
"416",2019,"STATE","IDAHO","16",NA,"OPERATIONS WITH AREA HARVESTED",NA,"6","42.5"
"417",2019,"STATE","IDAHO","16",NA,"OPERATIONS WITH SALES",NA,"6","42.5"
"418",2019,"STATE","IDAHO","16",NA,"PRODUCTION"," CWT","100","(H)"
"419",2019,"STATE","IDAHO","16",NA,"SALES"," $","26,380","(H)"
"420",2019,"STATE","IDAHO","16",NA,"SALES"," CWT","100","(H)"
"421",2019,"STATE","IDAHO","16","FRESH MARKET","OPERATIONS WITH SALES",NA,"6","39.8"
"422",2019,"STATE","IDAHO","16","FRESH MARKET","SALES"," $","26,380","59.6"
"423",2019,"STATE","IDAHO","16","FRESH MARKET","SALES"," CWT","100","38.9"
"424",2019,"STATE","ILLINOIS","17",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"425",2019,"STATE","ILLINOIS","17",NA,"OPERATIONS WITH AREA HARVESTED",NA,"2","24.6"
"426",2019,"STATE","ILLINOIS","17",NA,"OPERATIONS WITH SALES",NA,"2","24.6"
"427",2019,"STATE","ILLINOIS","17",NA,"PRODUCTION"," CWT","(D)","(D)"
"428",2019,"STATE","ILLINOIS","17",NA,"SALES"," $","(D)","(D)"
"429",2019,"STATE","ILLINOIS","17",NA,"SALES"," CWT","(D)","(D)"
"430",2019,"STATE","ILLINOIS","17","FRESH MARKET","OPERATIONS WITH SALES",NA,"2","24.6"
"431",2019,"STATE","ILLINOIS","17","FRESH MARKET","SALES"," $","(D)","(D)"
"432",2019,"STATE","ILLINOIS","17","FRESH MARKET","SALES"," CWT","(D)","(D)"
"433",2019,"STATE","INDIANA","18",NA,"ACRES HARVESTED",NA,"11","61.3"
"434",2019,"STATE","INDIANA","18",NA,"OPERATIONS WITH AREA HARVESTED",NA,"5","24.6"
"435",2019,"STATE","INDIANA","18",NA,"OPERATIONS WITH SALES",NA,"5","24.6"
"436",2019,"STATE","INDIANA","18",NA,"PRODUCTION"," CWT","288","56.2"
"437",2019,"STATE","INDIANA","18",NA,"SALES"," $","128,882","59.9"
"438",2019,"STATE","INDIANA","18",NA,"SALES"," CWT","288","56.2"
"439",2019,"STATE","INDIANA","18","FRESH MARKET","OPERATIONS WITH SALES",NA,"5","24.6"
"440",2019,"STATE","INDIANA","18","FRESH MARKET","SALES"," $","128,882","59.9"
"441",2019,"STATE","INDIANA","18","FRESH MARKET","SALES"," CWT","288","56.2"
"442",2019,"STATE","IOWA","19",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"443",2019,"STATE","IOWA","19",NA,"OPERATIONS WITH AREA HARVESTED",NA,"8","38.0"
"444",2019,"STATE","IOWA","19",NA,"OPERATIONS WITH SALES",NA,"8","38.0"
"445",2019,"STATE","IOWA","19",NA,"PRODUCTION"," CWT","70","59.2"
"446",2019,"STATE","IOWA","19",NA,"SALES"," $","32,295","66.6"
"447",2019,"STATE","IOWA","19",NA,"SALES"," CWT","70","59.2"
"448",2019,"STATE","IOWA","19","FRESH MARKET","OPERATIONS WITH SALES",NA,"8","38.0"
"449",2019,"STATE","IOWA","19","FRESH MARKET","SALES"," $","32,295","66.6"
"450",2019,"STATE","IOWA","19","FRESH MARKET","SALES"," CWT","70","59.2"
"451",2019,"STATE","KANSAS","20",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"452",2019,"STATE","KANSAS","20",NA,"OPERATIONS WITH AREA HARVESTED",NA,"1","69.8"
"453",2019,"STATE","KANSAS","20",NA,"OPERATIONS WITH SALES",NA,"1","69.8"
"454",2019,"STATE","KANSAS","20",NA,"PRODUCTION"," CWT","(D)","(D)"
"455",2019,"STATE","KANSAS","20",NA,"SALES"," $","(D)","(D)"
"456",2019,"STATE","KANSAS","20",NA,"SALES"," CWT","(D)","(D)"
"457",2019,"STATE","KANSAS","20","FRESH MARKET","OPERATIONS WITH SALES",NA,"1","69.8"
"458",2019,"STATE","KANSAS","20","FRESH MARKET","SALES"," $","(D)","(D)"
"459",2019,"STATE","KANSAS","20","FRESH MARKET","SALES"," CWT","(D)","(D)"
"460",2019,"STATE","KENTUCKY","21",NA,"ACRES HARVESTED",NA,"1","94.6"
"461",2019,"STATE","KENTUCKY","21",NA,"OPERATIONS WITH AREA HARVESTED",NA,"4","43.9"
"462",2019,"STATE","KENTUCKY","21",NA,"OPERATIONS WITH SALES",NA,"4","43.9"
"463",2019,"STATE","KENTUCKY","21",NA,"PRODUCTION"," CWT","40","94.1"
"464",2019,"STATE","KENTUCKY","21",NA,"SALES"," $","12,387","75.2"
"465",2019,"STATE","KENTUCKY","21",NA,"SALES"," CWT","40","94.1"
"466",2019,"STATE","KENTUCKY","21","FRESH MARKET","OPERATIONS WITH SALES",NA,"4","43.9"
"467",2019,"STATE","KENTUCKY","21","FRESH MARKET","SALES"," $","12,387","75.2"
"468",2019,"STATE","KENTUCKY","21","FRESH MARKET","SALES"," CWT","40","94.1"
"469",2019,"STATE","LOUISIANA","22",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"470",2019,"STATE","LOUISIANA","22",NA,"OPERATIONS WITH AREA HARVESTED",NA,"1","30.4"
"471",2019,"STATE","LOUISIANA","22",NA,"OPERATIONS WITH SALES",NA,"1","30.4"
"472",2019,"STATE","LOUISIANA","22",NA,"PRODUCTION"," CWT","(D)","(D)"
"473",2019,"STATE","LOUISIANA","22",NA,"SALES"," $","(D)","(D)"
"474",2019,"STATE","LOUISIANA","22",NA,"SALES"," CWT","(D)","(D)"
"475",2019,"STATE","LOUISIANA","22","FRESH MARKET","OPERATIONS WITH SALES",NA,"1","30.4"
"476",2019,"STATE","LOUISIANA","22","FRESH MARKET","SALES"," $","(D)","(D)"
"477",2019,"STATE","LOUISIANA","22","FRESH MARKET","SALES"," CWT","(D)","(D)"
"478",2019,"STATE","MAINE","23",NA,"ACRES HARVESTED",NA,"5","36.7"
"479",2019,"STATE","MAINE","23",NA,"OPERATIONS WITH AREA HARVESTED",NA,"19","15.7"
"480",2019,"STATE","MAINE","23",NA,"OPERATIONS WITH SALES",NA,"19","15.7"
"481",2019,"STATE","MAINE","23",NA,"PRODUCTION"," CWT","168","33.3"
"482",2019,"STATE","MAINE","23",NA,"SALES"," $","62,472","35.4"
"483",2019,"STATE","MAINE","23",NA,"SALES"," CWT","168","33.4"
"484",2019,"STATE","MAINE","23","FRESH MARKET","OPERATIONS WITH SALES",NA,"19","15.7"
"485",2019,"STATE","MAINE","23","FRESH MARKET","SALES"," $","62,472","36.0"
"486",2019,"STATE","MAINE","23","FRESH MARKET","SALES"," CWT","168","33.8"
"487",2019,"STATE","MARYLAND","24",NA,"ACRES HARVESTED",NA,"4","36.7"
"488",2019,"STATE","MARYLAND","24",NA,"OPERATIONS WITH AREA HARVESTED",NA,"13","15.7"
"489",2019,"STATE","MARYLAND","24",NA,"OPERATIONS WITH SALES",NA,"13","15.7"
"490",2019,"STATE","MARYLAND","24",NA,"PRODUCTION"," CWT","158","33.3"
"491",2019,"STATE","MARYLAND","24",NA,"SALES"," $","50,234","35.4"
"492",2019,"STATE","MARYLAND","24",NA,"SALES"," CWT","158","33.4"
"493",2019,"STATE","MARYLAND","24","FRESH MARKET","OPERATIONS WITH SALES",NA,"13","15.7"
"494",2019,"STATE","MARYLAND","24","FRESH MARKET","SALES"," $","(D)","(D)"
"495",2019,"STATE","MARYLAND","24","FRESH MARKET","SALES"," CWT","(D)","(D)"
"496",2019,"STATE","MARYLAND","24","PROCESSING","OPERATIONS WITH SALES",NA,"2","(H)"
"497",2019,"STATE","MARYLAND","24","PROCESSING","SALES"," $","(D)","(D)"
"498",2019,"STATE","MARYLAND","24","PROCESSING","SALES"," CWT","(D)","(D)"
"499",2019,"STATE","MASSACHUSETTS","25",NA,"ACRES HARVESTED",NA,"14","36.7"
"500",2019,"STATE","MASSACHUSETTS","25",NA,"OPERATIONS WITH AREA HARVESTED",NA,"14","15.7"
"501",2019,"STATE","MASSACHUSETTS","25",NA,"OPERATIONS WITH SALES",NA,"14","15.7"
"502",2019,"STATE","MASSACHUSETTS","25",NA,"PRODUCTION"," CWT","485","33.3"
"503",2019,"STATE","MASSACHUSETTS","25",NA,"SALES"," $","144,129","35.4"
"504",2019,"STATE","MASSACHUSETTS","25",NA,"SALES"," CWT","485","33.4"
"505",2019,"STATE","MASSACHUSETTS","25","FRESH MARKET","OPERATIONS WITH SALES",NA,"14","15.7"
"506",2019,"STATE","MASSACHUSETTS","25","FRESH MARKET","SALES"," $","144,129","36.0"
"507",2019,"STATE","MASSACHUSETTS","25","FRESH MARKET","SALES"," CWT","485","33.8"
"508",2019,"STATE","MICHIGAN","26",NA,"ACRES HARVESTED",NA,"11","61.3"
"509",2019,"STATE","MICHIGAN","26",NA,"OPERATIONS WITH AREA HARVESTED",NA,"30","24.6"
"510",2019,"STATE","MICHIGAN","26",NA,"OPERATIONS WITH SALES",NA,"30","24.6"
"511",2019,"STATE","MICHIGAN","26",NA,"PRODUCTION"," CWT","435","56.2"
"512",2019,"STATE","MICHIGAN","26",NA,"SALES"," $","(D)","(D)"
"513",2019,"STATE","MICHIGAN","26",NA,"SALES"," CWT","435","56.2"
"514",2019,"STATE","MICHIGAN","26","FRESH MARKET","OPERATIONS WITH SALES",NA,"30","24.6"
"515",2019,"STATE","MICHIGAN","26","FRESH MARKET","SALES"," $","(D)","(D)"
"516",2019,"STATE","MICHIGAN","26","FRESH MARKET","SALES"," CWT","435","56.2"
"517",2019,"STATE","MINNESOTA","27",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"518",2019,"STATE","MINNESOTA","27",NA,"OPERATIONS WITH AREA HARVESTED",NA,"13","37.8"
"519",2019,"STATE","MINNESOTA","27",NA,"OPERATIONS WITH SALES",NA,"13","37.8"
"520",2019,"STATE","MINNESOTA","27",NA,"PRODUCTION"," CWT","73","47.9"
"521",2019,"STATE","MINNESOTA","27",NA,"SALES"," $","29,986","55.0"
"522",2019,"STATE","MINNESOTA","27",NA,"SALES"," CWT","73","47.9"
"523",2019,"STATE","MINNESOTA","27","FRESH MARKET","OPERATIONS WITH SALES",NA,"13","37.8"
"524",2019,"STATE","MINNESOTA","27","FRESH MARKET","SALES"," $","29,986","55.0"
"525",2019,"STATE","MINNESOTA","27","FRESH MARKET","SALES"," CWT","73","47.9"
"526",2019,"STATE","MISSOURI","29",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"527",2019,"STATE","MISSOURI","29",NA,"OPERATIONS WITH AREA HARVESTED",NA,"1","24.6"
"528",2019,"STATE","MISSOURI","29",NA,"OPERATIONS WITH SALES",NA,"1","24.6"
"529",2019,"STATE","MISSOURI","29",NA,"PRODUCTION"," CWT","(D)","(D)"
"530",2019,"STATE","MISSOURI","29",NA,"SALES"," $","(D)","(D)"
"531",2019,"STATE","MISSOURI","29",NA,"SALES"," CWT","(D)","(D)"
"532",2019,"STATE","MISSOURI","29","FRESH MARKET","OPERATIONS WITH SALES",NA,"1","24.6"
"533",2019,"STATE","MISSOURI","29","FRESH MARKET","SALES"," $","(D)","(D)"
"534",2019,"STATE","MISSOURI","29","FRESH MARKET","SALES"," CWT","(D)","(D)"
"535",2019,"STATE","MONTANA","30",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"536",2019,"STATE","MONTANA","30",NA,"OPERATIONS WITH AREA HARVESTED",NA,"4","47.2"
"537",2019,"STATE","MONTANA","30",NA,"OPERATIONS WITH SALES",NA,"4","47.2"
"538",2019,"STATE","MONTANA","30",NA,"PRODUCTION"," CWT","39","52.1"
"539",2019,"STATE","MONTANA","30",NA,"SALES"," $","18,302","59.1"
"540",2019,"STATE","MONTANA","30",NA,"SALES"," CWT","39","52.1"
"541",2019,"STATE","MONTANA","30","FRESH MARKET","OPERATIONS WITH SALES",NA,"4","47.2"
"542",2019,"STATE","MONTANA","30","FRESH MARKET","SALES"," $","18,302","59.1"
"543",2019,"STATE","MONTANA","30","FRESH MARKET","SALES"," CWT","39","52.1"
"544",2019,"STATE","NEBRASKA","31",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"545",2019,"STATE","NEBRASKA","31",NA,"OPERATIONS WITH AREA HARVESTED",NA,"2","69.8"
"546",2019,"STATE","NEBRASKA","31",NA,"OPERATIONS WITH SALES",NA,"2","69.8"
"547",2019,"STATE","NEBRASKA","31",NA,"PRODUCTION"," CWT","(D)","(D)"
"548",2019,"STATE","NEBRASKA","31",NA,"SALES"," $","(D)","(D)"
"549",2019,"STATE","NEBRASKA","31",NA,"SALES"," CWT","(D)","(D)"
"550",2019,"STATE","NEBRASKA","31","FRESH MARKET","OPERATIONS WITH SALES",NA,"2","69.8"
"551",2019,"STATE","NEBRASKA","31","FRESH MARKET","SALES"," $","(D)","(D)"
"552",2019,"STATE","NEBRASKA","31","FRESH MARKET","SALES"," CWT","(D)","(D)"
"553",2019,"STATE","NEVADA","32",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"554",2019,"STATE","NEVADA","32",NA,"OPERATIONS WITH AREA HARVESTED",NA,"1","47.2"
"555",2019,"STATE","NEVADA","32",NA,"OPERATIONS WITH SALES",NA,"1","47.2"
"556",2019,"STATE","NEVADA","32",NA,"PRODUCTION"," CWT","(D)","(D)"
"557",2019,"STATE","NEVADA","32",NA,"SALES"," $","(D)","(D)"
"558",2019,"STATE","NEVADA","32",NA,"SALES"," CWT","(D)","(D)"
"559",2019,"STATE","NEVADA","32","FRESH MARKET","OPERATIONS WITH SALES",NA,"1","47.2"
"560",2019,"STATE","NEVADA","32","FRESH MARKET","SALES"," $","(D)","(D)"
"561",2019,"STATE","NEVADA","32","FRESH MARKET","SALES"," CWT","(D)","(D)"
"562",2019,"STATE","NEW HAMPSHIRE","33",NA,"ACRES HARVESTED",NA,"1","36.7"
"563",2019,"STATE","NEW HAMPSHIRE","33",NA,"OPERATIONS WITH AREA HARVESTED",NA,"4","15.7"
"564",2019,"STATE","NEW HAMPSHIRE","33",NA,"OPERATIONS WITH SALES",NA,"4","15.7"
"565",2019,"STATE","NEW HAMPSHIRE","33",NA,"PRODUCTION"," CWT","(D)","(D)"
"566",2019,"STATE","NEW HAMPSHIRE","33",NA,"SALES"," $","24,000","35.4"
"567",2019,"STATE","NEW HAMPSHIRE","33",NA,"SALES"," CWT","(D)","(D)"
"568",2019,"STATE","NEW HAMPSHIRE","33","FRESH MARKET","OPERATIONS WITH SALES",NA,"4","15.7"
"569",2019,"STATE","NEW HAMPSHIRE","33","FRESH MARKET","SALES"," $","24,000","36.0"
"570",2019,"STATE","NEW HAMPSHIRE","33","FRESH MARKET","SALES"," CWT","(D)","(D)"
"571",2019,"STATE","NEW JERSEY","34",NA,"ACRES HARVESTED",NA,"7","36.7"
"572",2019,"STATE","NEW JERSEY","34",NA,"OPERATIONS WITH AREA HARVESTED",NA,"10","15.7"
"573",2019,"STATE","NEW JERSEY","34",NA,"OPERATIONS WITH SALES",NA,"10","15.7"
"574",2019,"STATE","NEW JERSEY","34",NA,"PRODUCTION"," CWT","208","33.3"
"575",2019,"STATE","NEW JERSEY","34",NA,"SALES"," $","(D)","(D)"
"576",2019,"STATE","NEW JERSEY","34",NA,"SALES"," CWT","208","33.4"
"577",2019,"STATE","NEW JERSEY","34","FRESH MARKET","OPERATIONS WITH SALES",NA,"10","15.7"
"578",2019,"STATE","NEW JERSEY","34","FRESH MARKET","SALES"," $","(D)","(D)"
"579",2019,"STATE","NEW JERSEY","34","FRESH MARKET","SALES"," CWT","208","33.8"
"580",2019,"STATE","NEW MEXICO","35",NA,"ACRES HARVESTED",NA,"(D)","(D)"
